sira	datesk	Item Name	Date	price
498	20130924	Brinjal (R)	13.05.2013	22
499	20130925	Brinjal (R)	14.05.2013	25
500	20130926	Brinjal (R)	15.05.2013	27
501	20130927	Brinjal (R)	16.05.2013	27
502	20130928	Brinjal (R)	17.05.2013	32
503	20130930	Brinjal (R)	18.05.2013	30
504	20131001	Brinjal (R)	19.05.2013	30
505	20131002	Brinjal (R)	20.05.2013	29
506	20131003	Brinjal (R)	21.05.2013	25
507	20131004	Brinjal (R)	22.05.2013	25
508	20131005	Brinjal (R)	23.05.2013	26
509	20131007	Brinjal (R)	24.05.2013	29
510	20131008	Brinjal (R)	25.05.2013	29
511	20131009	Brinjal (R)	26.05.2013	27
512	20131010	Brinjal (R)	27.05.2013	24
513	20131011	Brinjal (R)	28.05.2013	18
514	20131012	Brinjal (R)	29.05.2013	18
515	20131015	Brinjal (R)	30.05.2013	19
516	20131016	Brinjal (R)	31.05.2013	19
517	20131017	Brinjal (R)	1.06.2013	20
518	20131018	Brinjal (R)	2.06.2013	20
519	20131019	Brinjal (R)	3.06.2013	20
520	20131021	Brinjal (R)	4.06.2013	22
521	20131022	Brinjal (R)	5.06.2013	23
522	20131023	Brinjal (R)	6.06.2013	25
523	20131024	Brinjal (R)	7.06.2013	25
524	20131025	Brinjal (R)	8.06.2013	25
525	20131026	Brinjal (R)	9.06.2013	24
526	20131028	Brinjal (R)	10.06.2013	24
527	20131029	Brinjal (R)	11.06.2013	24
528	20131030	Brinjal (R)	12.06.2013	24
529	20131031	Brinjal (R)	13.06.2013	24
530	20131102	Brinjal (R)	14.06.2013	24
531	20131104	Brinjal (R)	15.06.2013	35
532	20131105	Brinjal (R)	16.06.2013	30
533	20131106	Brinjal (R)	17.06.2013	30
534	20131107	Brinjal (R)	18.06.2013	28
535	20131108	Brinjal (R)	19.06.2013	25
536	20131109	Brinjal (R)	20.06.2013	27
537	20131111	Brinjal (R)	21.06.2013	35
538	20131112	Brinjal (R)	22.06.2013	30
539	20131114	Brinjal (R)	23.06.2013	30
540	20131115	Brinjal (R)	24.06.2013	32
541	20131116	Brinjal (R)	25.06.2013	32
542	20131118	Brinjal (R)	26.06.2013	30
543	20131119	Brinjal (R)	27.06.2013	30
544	20131120	Brinjal (R)	28.06.2013	30
545	20131121	Brinjal (R)	29.06.2013	30
546	20131122	Brinjal (R)	30.06.2013	29
547	20131123	Brinjal (R)	1.07.2013	29
548	20131125	Brinjal (R)	2.07.2013	25
549	20131126	Brinjal (R)	3.07.2013	23
550	20131127	Brinjal (R)	4.07.2013	22
551	20131128	Brinjal (R)	5.07.2013	19
552	20131129	Brinjal (R)	6.07.2013	19
553	20131130	Brinjal (R)	7.07.2013	18
554	20131202	Brinjal (R)	8.07.2013	17
555	20131203	Brinjal (R)	9.07.2013	17
556	20131204	Brinjal (R)	10.07.2013	17
557	20131205	Brinjal (R)	11.07.2013	16
558	20131206	Brinjal (R)	12.07.2013	13
559	20131207	Brinjal (R)	13.07.2013	13
560	20131209	Brinjal (R)	14.07.2013	17
561	20131210	Brinjal (R)	15.07.2013	17
562	20131211	Brinjal (R)	16.07.2013	17
563	20131212	Brinjal (R)	17.07.2013	17
564	20131213	Brinjal (R)	18.07.2013	16
565	20131214	Brinjal (R)	19.07.2013	16
566	20131217	Brinjal (R)	20.07.2013	15
567	20131218	Brinjal (R)	21.07.2013	14
568	20131219	Brinjal (R)	22.07.2013	14
569	20131220	Brinjal (R)	23.07.2013	14
570	20131221	Brinjal (R)	24.07.2013	15
571	20131223	Brinjal (R)	25.07.2013	14
572	20131224	Brinjal (R)	26.07.2013	13
573	20131225	Brinjal (R)	27.07.2013	13
574	20131226	Brinjal (R)	28.07.2013	13
575	20131227	Brinjal (R)	29.07.2013	13
576	20131228	Brinjal (R)	30.07.2013	15
577	20131230	Brinjal (R)	31.07.2013	15
578	20131231	Brinjal (R)	1.08.2013	13
579	20140102	Brinjal (R)	2.08.2013	12
